label,value,cnt
Ölçü,80 × 22.9 × 10.8 mm (heatsink ilə),3
Mikrofon,"10 mm çıxarılan boom, LED mute, səs-küy azaldan",1
Model,Lenovo ThinkPad T14s 2-in-1 Gen 1,1
Seriya,Apacer AC533,2
Portlar,"5× 10/100 Mbps RJ45 portu (Auto-Negotiation, Auto MDI/MDIX)",1
Tip,nazik səyahət siçan altlığı,2
Part number,BZ1H7EA,1
Oxuma sürəti,1100 MB/s,1
Part number,3E5F8AA,1
Seriya,HiTune,4
Rəng,Sky Blue,1
LED,ağ,1
Starter,700 səh (qutuda),3
Ölçülər,31.5 × 14 × 44.5 cm,1
Part number,A16KREA,1
GPU,Mali-G610 MP4,7
Yaddaş,500 GB HDD,1
Cavab müddəti,5 ms (typical) / 8 ms (fast),1
Part number,BX750MI-GR,1
Model,HP U32 4K HDR,1
HDMI,1 × HDMI 2.1 (4K60),3
Model,CP-9971-C-K9,1
Çəki,247.4 q,2
Konstruksiya,Bütöv rezin ramka + kabel yuvası,1
Model,BV1000I-GR,1
IPS/G,900 IPS / 85 q,2
Düymə,5 proqramlaşdırılan,2
Təyinat,Server,13
PD,100 W (PD 3.0 20 V/5A),2
Model,4GB 1Rx4 PC3L-10600R-9-12-C2,1
Tip,"Indoor Wi-Fi 6 (802.11ax) 4×4 access point, Instant On AP25",1
Uyğunluq,Jabra PanaCast seriyası,1
Part number,8A4U9EA,1
Rəng tutumu,99% sRGB; 1.07 milyard rəng (8-bit+FRC),1
Protokollar,SCCP və SIP dəstəyi (Cisco CallManager / CUCM / CME),1
OEM kod,CF413A,1
Maks. noutbuk,"39.6 cm (15.6"")",1
Part number,470-BCFV,1
Kağız,550 + 100 bypass (standart 650); maks. 2 300 (3×550 əlavə),1
Wi-Fi,Dual-band 802.11a/b/g/n/ac + BLE,1
Fırlanma bucağı,360°,1
Funksiya,"PXE, WoL, 9K jumbo, TSN, VLAN/teaming",1
Keş,24 MB,1
Part number,368Y5AA,1
Ekran,"14"", WUXGA 1920x1200, IPS, 400 nits, 60 Hz, Anti-glare, 45% NTSC",5
Ekran,"23.8"" WUXGA (1920×1200) IPS/UWVA 350 nit 100 Hz",1
Əməliyyat sistemi,Windows 11 Pro,33
Ölçülər,585 × 695 × 1189 mm,1
Oxuma sürəti,515 MB/s,1
Model,NP5.0-12,1
Part number,AP2TBAS723B-1,1
Port 2 qücü,65 W,1
Forma,On-ear,1
"Çap sürəti (qara, ISO)",56 səh/dəq,1
PoE,"370 W, IEEE 802.3af/at, 24 port",3
İstifadə sahəsi,"Ev, ofis, mağaza və uşaq otağı üçün uyğundur",1
Part number,QXG-10G1T,1
Çıxış gücü,"20 W Max (5 V/3A, 9 V/2.22A, 12 V/1.67A)",1
Part number,4Y41R69504,1
Qeyd,DMO region P/N (NA/XE ekvivalent 006R04686); mənbə qiyməti 0,1
İnterfeys,"USB 3.2 Gen 2x2 (20 Gbps), USB Type-C",2
Model,Lenovo ThinkCentre neo 50a 24 Gen 6,1
Material,"nylon water repellent + PVC, metal fittings",1
Ekran,3.2 düym (320 × 240 piksel) QVGA rəngli TFT LCD,1
Model,Lenovo USB-C Cable 1 m,1
Standart,802.11ax,3
Part number,KF588CU42RSA-24,1
Qısaqapanma cərəyanı (Isc),"10,8 A",1
Seriya,Razer Kraken V4 Pro,1
Part number,AP32GAH155U-1,1
Port sayı,8 × 2.5GbE RJ45 (2.5 q/1 q/100 m auto-negotiation),1
Yuvalar,"4 × 3.5""/2.5"" SATA 6Gb/s, hot-swap",7
Proqram,"Environet Alert, Power Insight, Power Assist, LIFE Services",1
Ekran,"49"", DQHD 5120x1440, 350 nits, 60 Hz",1
Vəziyyəti,İşlənmiş (Tam işlək),10
EAN,0196188567326,1
Ümumi güc,63 W,1
Çəki,"8,7 kq",1
Klaviatura tipi,Membrane,7
Disk ölçüsü,"2.5""",1
Part number,P22094-421,1
Tip,Wireless stereo headset (Evolve3),2
Forma,Stereo,7
Toxunuş,"IR Zero Bonding Gen2, 50 nöqtəyə qədər",7
Energy Star,2.0,3
Faks,"Standart, 33.6 kbps, ünvan kitabı, broadcast",1
Kartric,"HP 225A Black LJ Toner Cartridge W2250A (ISO Yield 45,000); HP 225A Cyan LJ Toner Cartridge W2251A (ISO Yield 40,000); HP 225A Yellow LJ Toner Cartridge W2252A (ISO Yield 40,000); HP 225A Magenta LJ Toner Cartridge W2253A (ISO Yield 40,000)",1
Ölçü / çəki,"81.4 × 33.6 × 7.5 mm, 31 q (yüngül alüminium korpus)",2
Dinamik,"1 ədəd, 5 Vt",5
Həssaslıq,6,1
Qrafika,NVIDIA GeForce RTX 4060 8GB,1
Model,CM383,1
Clients / SSID,up to 256 clients · up to 16 SSID,1
Bağlantı,HyperSpeed + USB-A,1
Çəki,238 q,1
Ölçü,22 × 80 × 3.5 mm,1
Forma,Mono (on-ear),1
Tip,2-xətli Multiplatform (3PCC) Açıq SIP IP Telefon,1
Part number,A1AA3EA,1
Part number,2E-BSSXPWRD,1
ChargingTime,About 6 hours (with PD 20 W charger),1
RAM,16 GB DDR4,2
Part number,R2H28A,1
Seriya,Razer Wolverine V3 Pro 8K,1
Batareya,25 saat (təqribi),2
Spare P/N,P47953-001,1
Xüsusiyyətlər,"TP-Link OneMesh dəstəyi (OneMesh routerlərlə vahid mesh şəbəkə yaradır), Ağıllı siqnal göstərici LED lampası (ən yaxşı yeri tapmaq üçün), Giriş nöqtəsi (Access Point) rejimi, Bütün standart Wi-Fi routerlərlə uyğunluq, TP-Link Tether tətbiqi ilə idarəetmə",1
Model,CM498,1
IK,İnfraqırmızı ötürücü və qəbuledici (TV/kondisioner pultu),1
Qida,"80-pin OPS, 12–19 V DC, maks. 90 W",1
Rəng,zümrüd,1
"Çap sürəti (qara, draft)",19 səh/dəq,2
Operativ yaddaş,24GB DDR5,2
Seriya,UCM6300A (yüksək tutumlu),1
Seriya,Razer Huntsman Mini,3
Motor protection against overload,✔️ Thermal protection,1
İnterfeys,USB / Bluetooth,1
Şəbəkə,1 × 1GbE RJ45,3
Kartric,"HP 136A Black LaserJet Toner Cartridge, W1360A (1,150 yield), HP 136X Black LaserJet Toner Cartridge, W1360X (2,600 yield)",2
Model,YNDX-00524,1
Type,with tilt and turn,2
En,89 mm,1
Part number,G0A3140WWW,1
Seriya,Evolve2 40 SE,2
PSU,optional redundant,3
Radio,"3×3:3 MU-MIMO, dual-band",1
Vəziyyəti,Yeni (Qutusunda),1
Tip,1 q SFP optik transceiver,1
Standart,"microSDXC, UHS-I",2
NGFW,2.5 Gbps,2
Seriya,Kingston DataTraveler Exodia M,1
Part number,P36937-B21,1
TBW,1200 TB,1
Rəng,95% DCI-P3,1
Portlar,"1x USB-A (USB 5Gbps); 1x Thunderbolt 4, with USB PD 3.0 and DisplayPort 1.4; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x Ethernet (RJ-45); 1x SD card reader; 1x USB-A (USB 5Gbps), Always On; 1x USB-C (USB 10Gbps), with USB Power Delivery 3.0 and DisplayPort 1.4; Touch style fingerprint reader integrated in power button, match-on-chip; No fingerprint reader",4
Model,Lenovo ThinkPad X1 Carbon Gen 14,1
Additionally,TWS (True Wireless Stereo) support / Hands-Free function,3
Tip,All-in-one convergence (VPN Router + NGFW + Wi-Fi 6 AP + IP PBX),1
Part number,450-ABFS,1
Inputs,Earphone Jack / 1x D-Sub (VGA) / 1 x HDMI,1
Xüsusiyyət,Plug-and-Play,11
Application,for home and office,5
Equipment,"microphone / 1/4"" adapter (6.35 mm) / User guide / wind protector nozzle x2 / LR44 battery / case / clamp",1
Digər,"DP 1.2, SPDIF, RS-232, 3.5 mm in/out, NFC oxuyucu",7
Statik kontrast,1000:1 (Dinamik kontrast: 20 m:1),1
Part number,FWF-30 q-E,1
Tip,simsiz idarə pulti,1
Layout,1 × 8 GB (Single),2
Part number,2E2GEN3270FIX,1
Ötürmə,38.68 Mpps,2
Uyğunluq,CPU ≥ 185 W üçün (məs. Xeon Gold 5318Y); R650 / R650xs,1
Terminallar,Faston (F1/F2 tipik),1
Tip,1.25 q Ethernet SFP optik transceiver (EnGenius),1
Part number,EWS7928P-FIT,1
Additional information,microprocessor control / ECO mode,2
Part Number,BS1T7AA,1
Çəki,787 q,1
EAN,0190017480237,1
Audio,5× speaker / AI spatial,1
Ekran,"16"" WUXGA (1920×1200) anti-glare 300 nit",1
Qeyd,"Helium sealed; oxu 9.4 W, yazma 6.4 W, idle 5.4 W; 5–60 °C",1
Model,GWN7812P,1
Model,HP ZBook X G1i 16,2
Model,HP S3 Pro 327pf FHD,1
Part number,RC81-03630101-0000,1
Designed for cleaning,"screens LED/LCD monitopov, noytbykov, TV texniki",1
İnterfeys,"USB Type-C, USB 3.2 Gen 2 (10 Gbps)",4
Ekran ölçüsü,23.8 düym (60.5 sm),1
Audio (microphone / headphone ),"✔️ MIC mini-jack 3.5 mm, AUDIO mini-jack 3.5 mm",2
Növ,Fan,1
Aksesuar,Heatsink dəstdə (ayrıca quraşdırılır),1
Seq. oxuma/yazma,"550 / 500 MB/s (rəsmi S20 datasheet, 1 TB; seriya maks.)",1
Barkod,1210002616133,1
Portlar,8 × RJ-45 10/100/1000; Class 4 PoE port 1–4,1
Part number,DTMC3G2/64GB,1
Xüsusiyyətlər,"Korporativ qovluq, sürətli yığım, konfrans, zəng yönləndirmə",1
İnterfeys,SFP+,1
Part number,AP9544,1
Heatsink,8.75 mm crosscut alüminium + thermal silica pad,1
AC + DC giriş,600 W Max.,1
USB-A 2.0 port sayı,1,6
Panel,"DLED, 4K UHD 3840 × 2160, 60 Hz",10
Çəki / ölçülər,4.5 kq (9.92 lbs) | 540.4x185.7x462.1 mm,1
Korpus materialı,Acrylonitrile butadiene styrene (ABS),3
Material,nylon 75% / polyester 25%,1
IPS,2.25 Gbps,4
Part Number,4Z7X4AA,1
Part number,AP2TBAC532 W-1,1
Uyğunluq,Bütün DYMO LetraTag printerləri.,1
Funksiyalar,"VPN, NGFW, Wi-Fi 6, IP PBX",1
PoE Güc Büdcəsi,Cəmi 370 W (hər port üçün maksimum 30 W),1
Batareya tipi,Lead-acid (dəyişdirilə bilən),1
USB-C şarj portu,Xeyr,1
Ötürmə,41.6 Mpps,2
Korpus materialı,Polycarbonate (PC),1
Ölçülər,45 × 10 × 10 mm,1
Part number,JL805A,1
Dizayn,"360° qapaqsız swivel, qayış dəliyi",3
Portlar,Thunderbolt 5,1
Ekran ölçüsü,"27"" (68.47 cm)",1
EAN,0196188049594,1
Çəki,2.17 kq,1
Çəki,0.44 kq,1
Equipment,keyboard and mouse / USB-receiver / manual / 1 AAA battery / 1 AA battery,1
Çıxış qabı,25 Vərəq,1
Ölçü,XL (800×450×3 mm),6
Form faktor,Rack/Tower 3U,1
DWPD,0.44,1
Xüsusiyyət,Soft Touch / Plug-and-Play,1
Tövsiyə olunan həcm,50 - 100 səh/ay,1
Təyinat,Yalnız serverlər və iş stansiyaları üçün (adi PC-lərə getmir).,1
The rate of destruction,1.5 m/min,1
Model,HP EliteBook Ultra G1i 14,2
Panel,"QD-OLED, 1800R",1
Ön quraşdırılmış,Network Management Card + SmartSlot,1
Disk ölçüsü,3.5,4
Model,GUV3000,1
Kartric,"HP 150A Black LaserJet Toner Cartridge (~975), W1500A",3
Part number,SRV6KRIRK,1
Forma,"Qapalı, over-ear",20
Format,A4,38
Portlar,1x USB-C 3.2 Gen 1 (DP 1.4 Alt Mode); 1x USB-C 3.2 Gen 1 (DP 1.4 Alt mode); 4x USB-A 3.2 Gen 1 (1x BC 1.2); 1x USB-B 3.2 Gen 1; 1x HDMI; 1x DP,1
Şarj və Batareya,"MagSafe və Qi simsiz şarj dəstəyi + Lightning / USB şarj; Qulaqlıqlar 30 mAh, Şarj qabı 240 mAh",1
Sviçlər,"Huano 10 m əsas düymələr, Huano 3 m yan düymələr",1
Erqonomika,"Bilək üçün inteqrasiya olunmuş geniş dayaq altlığı, rezinləşdirilmiş qatlanan ayaqlar (2 səviyyəli hündürlük tənzimi)",1
Model,Lenovo ThinkPad X1 Carbon Gen 13,1
Kabel,2 m USB-C→USB-A,2
Dərinlik,222.3 mm,2
TBW,250,1
Ölçülər,99x64.8x36.8 mm,1
Rəng,Moonlight Blue,1
Part number,AG8GB32C16S4UB,1
Daxili,TPU cızıq əleyhinə,1
Part number,2E-KS260WWH,1
Hüceyrə səmərəliliyi,24%,1
Keçid tutumu,16 Gbps (non-blocking),1
Qidalanma,1× AA batareya,3
Part number,P26279-B21,1
Part number,SMC1500IC,1
Switch ömrü,50 mln klik,1
Part number,21QG004TFW,1
Tip,Passive holder,2
İdarəetmə,Web Smart; PoE consumption mode (yalnız tələb olunan güc verilir),1
Part number,RZ03-03392200-R3R1,1
Ekran,"23.8"" Full HD (1920×1080) IPS/UWVA 300 nit 75 Hz",3
Part number,KF588CU42RWAK2-48,1
Rozetka,24 × Schuko (DIN 49440 / Type F),3
Part number,RZ02-03330300-R3M1,1
Skaner,Rəngli flatbed + 50 Vərəq ADF (simplex; DADF B315-dədir),1
Prosessor,"Intel Core 5 210H (8 nüvə / 8 axın, 2.2–4.8 GHz, 24 MB keş, 45 W)",4
Ölçülər,18.391 × 11.167 × 21.439 cm,1
Güc,1.500 VA / 900 W,1
Növ,Ön disk qəfəsi / backplane dəsti,1
Part number,2E-GC-HIB-BKRD,1
Əvəzedici batareya,APCRBC152,1
Hündürlük,225.3 mm,3
Bone conduction sensor,Xeyr,1
Forwarding,14.88 Mpps,1
Yaddaş,1TB PCIe-4x4 2280 SED OPAL2 TLC M.2 SSD,2
Texnologiya,GaN,27
İnterfeys,Ethernet / Fiber,2
Part number,63A4MAT1EU,1
Qrafika,Inteqrə qrafika,2
Profil,Low profile,3
Standart,"IEC/EN 60297-3-100, EN 61587-1",2
Mikrofon,HyperClear (çıxarılan),4
HDR,"DisplayHDR 400 True Black, Dolby Vision",1
EAN,4549821354252,1
Form faktor,"Tower, 180.2 × 264.3 × 279.6 mm",1
Part number,2E-MF160UB,1
Part number,AJ7C2AA,1
Part number,RZ02-02500700-R3M1,1
Konnektor 1,RJ-45,6
Part number,21SSS79E00,1
Çəki,165 q,1
Model,YNDX-00030GRN,1
Dərinlik,445 mm,1
Permanent memory,8 Gb,2
Qrafika,NVIDIA RTX 2000 Ada 16 GB 4mDP GFX,1
Layer,L3,2
Şarj,2 saat,2
Ölçü (H×D×W),30 × 120 × 180 mm,1
Overclock,Intel XMP 2.0,2
Model,Lenovo ThinkVision T32p-30,1
Rəng,99% sRGB,4
Kabel,"3 m, 3×2.5 mm² H05VV-F",1
Qida,36 W adapter (12 V),1
Rəng,Aluminium,2
Yaddaş,512 GB-a qədər MicroSD kart dəstəyi və Tapo Care bulud saxlama imkanı,1
Tip,oyun kreslosu,3
İnterfeys,"Dual USB-A + USB-C, USB 3.2 Gen 2 (10 Gbps)",3
Çəki,4.87 kq,1
RAM,2 GB onboard (genişlənməz),2
PoE dəstəyi,IEEE 802.3af PoE (Class 1),1
Dimensions (ShhVhT),42.5x31.5x11 cm,1
Oxutma müddəti,6 h,1
Ciblər,"Premium workstation (vizitka, adapter, qələm); gizli yan ciblər; maqnitli sənəd cibi / trolley pass-through",1
Səs @25°C,26.5 dBA,1
Portlar,24 × RJ-45 10/100/1000 Mbps + 4 × 10 Gigabit SFP+ — cəmi 28 port,1
Plastik,Yanmayan,2
İdarəetmə,Standalone Web GUI / AP / CB / WDS rejimləri,1
Prosessor,Intel Core i5-1334U,1
Yaddaş,256 MB SDRAM · 32 MB Flash · Packet buffer 512 KB,1
Part number,2E-MF300WCAPIBARAGN,1
UPS keçid vaxtı,≤20 ms,5
Seriya,addlink AP / Pascari B100P,1
Ekran,"14.5"", WUXGA 1920x1200, IPS, 400 nits, 60 Hz, Touch, Anti-glare, 45%NTSC",1
Düymə,11,5
Maksimal məsafə,20 km (Single Mode Fiber - SMF),2
M.2,2 × M.2 2280 PCIe Gen3 x1 (NVMe SSD cache),1
Seriya,Razer Strider XXL,1
Kontrast,"1,000,000:1",1
Rəng,göy,5
Power consumption (no load),0.3 W,2
Su keçirməzlik,Dəstdəki korpusla 40 m / 131 ft (korpusda səs yazılmır),1
Driver dimensions,60 mm,1
XMP/EXPO,Tələb olunmur — JEDEC 5600 plug-and-play,2
Part number,2E-GC-HIB-BK,1
Zəmanət,1 il və ya 30 000 səhifə (hansı tez bitsə),1
Prosessor,Intel Core Ultra 7 355 | 12MB cache,1
Yan,"2× HDMI-in, VGA-in, HDMI-out, USB Touch, audio out, RS-232, 2× USB 3.0, USB 2.0",1
Qida bloku (bu konfiq),Dual 600 W,1
En,146.1 mm,2
Operativ yaddaş,32GB (2x16GB) DDR5 4800,1
Part number,R9B28A,1
Uyğunluq,HPE ProLiant Gen11 (DL360/DL380/ML350 Gen11),1
CPU,Marvell OCTEON TX2 CN9130/CN9131 ARMv8 Cortex-A72 4-core 2.2 GHz,1
Ekran,"2.8K 2880x1800, Touch",2
Bağlantı,2.4 GHz + Bluetooth 5.0,2
Təyinat,"HDD əvəzi, noutbuk/masaüstü OS diski",3
Ölçü / çəki,"441 × 270 × 44 mm, 3.55 kq",1
Ekran,Yox,14
Bağlantı,HyperSpeed Wireless Gen-2 + USB-C,2
Tutum,7.68 TB,3
Model,Dell UltraSharp U3225QE,1
Uyğunluq,Intel və AMD DDR4 mobile platformaları,2
Ekran,"23.8"" Full HD (1920×1080) IPS/UWVA 300 nit 100 Hz",1
Part number,3025V_BI,1
Çap sürəti,42 ppm Letter / 40 ppm A4 (rəng və a/b),1
Tezlik,1333 MHz (PC3-10600),1
Mains voltage,220-240 V,2
Çəki,~1.1 kq,1
Nəsil,"10 nm (Ice Lake-SP, 3-cü nəsil Xeon Scalable)",2
Doldurma,~4 saat (90%-ə),1
Dimensions (ShhVhT),364x259x39 mm cm,1
Ölçü (H×D×W),44 × 310 × 440 mm,3
Radio,2x2:2 (2.4 GHz) + 2x2:2 (5 GHz),1
İdarəetmə,FitXpress (cloud) / FitController (lokal) / standalone Web GUI,3
Əlavə modul,Ayrıca portativ batareya (dibinə taxılır),11
Mühafizə,"IP67, xarici antenasız (internal)",1
Qidalanma,"Xarici adapter, max 12 W / idle 1 W",1
Model,HP 250 G10,3
Sertifikat,"CE, UKCA, FCC, BSMI, VCCI",5
Rəng,Qara / gümüşü,3
Power Supply,1xAA,14
Xətt sayı,"2 proqramlaşdırılan işıqlı xətt düyməsi, 4 dinamik soft-key, 4-istiqamətli naviqasiya çarxı",1
Mute,Tap-to-mute,5
Ekran,"10,9 cm (4.3"")",3
Əlavə xüsusiyyətlər,"Barmaq izi oxuyucu; FHD + IR kamera; Privacy shutter; Gorilla Glass; Korpus: Aluminium (top), aluminium (bottom)",2
Part number,RZ04-02950100-R381,1
Ekran,LCD,19
Ekran,"14"" FHD+ (1920×1200), 400 nit, HDR kamera dəstəyi",1
Təsvir,Full-size wireless mouse with black soft-touch coverage and a symmetrical body.,1
Model,KG290 TKL (2E-KG290UB),1
PoE,"IEEE 802.3af/at, 24 PoE+ port, ümumi büdcə 375 W; consumption/classification mode, PoE scheduling",1
Model,Dell OptiPlex 3000 SFF,1
Tezlik,10–20 400 Hz,1
USB-C çıxış,20 V/5A · 100 W maks · PPS 3.3–21 V/5A,1
Çəki / ölçülər,6.5 kq (14.3 lbs) | 539.8x199.7x542.8 mm,1
Konnektor 2 tipi,Female,7
Çəki (netto),1.15 kq,1
Giriş gərginlik diapazonu,160–285 V (full load),1
Növ,DDR5 SDRAM,22
EAN,4549821037827,1
Yaddaş kartı,"microSD, maksimum 512 GB, U3",1
Qoşulma,"USB 2.0 (Plug & Play, hər iki cihaz üçün 1.5 m kabel)",1
Fırlanma sürəti,7200,4
Əlavə xüsusiyyətlər,Self-Charging Bluetooth Keyboard-Russian/Cyrillic 441,1
Korpus,"Desktop, fanless; 12 V/1A adapter və ya PoE-PD",1
Type,fixed,2
Model,SRV6KRIRK,1
Çıxış rozetkaları,4 × Schuko,8
Part number,RZ01-03850100-R3M1,1
Əlavə,DTS Headphone:X,2
Tipik doldurma müddəti,4 saat,2
Model,GXP2140,1
Hub interfeysləri,"3.5 mm, USB 3.2 Gen 1 (3.1 Gen 1) Type-C",1
Ethernet,Bəli,1
Tutum,2 200 səh (ISO/IEC 19798),1
Model,S1600V2-18P-HPWR,1
Hava axını,Hər fan 2.22–2.70 m³/dəq,1
Part Number,7D6H2AA,1
Part number,3QA55A,1
Ölçülər,45.1 × 14.814 × 5.775 cm,1
Tip,qalın parça oyun siçan altlığı,5
Random 4K,450000 IOPS oxuma / 900000 IOPS yazma,1
Tip,qayçı (scissors) klaviatura,2
Ethernet,1 × 10/100 PoE,3
Tezlik diapazonu,80–20 000 Hz,4
Rozetka sayı,2,1
Giriş tezliyi,50 / 60 Hz,7
Wireless interfaces,Bluetooth 5.3,3
Keçid vaxtı,tipik 6 ms (maks. 10 ms),6
Güc,USB-C power pass-through 90 W-a qədər,1
Sensor,Instant A825 optik oyun sensoru,1
Tələb olunan hub,Yandex Hub və ya Zigbee-li Stansiya,11
Ethernet,2 × 1 GbE · PoE (802.3af/at),1
ECC,"Yox (Non-ECC, unbuffered)",2
Ekranlama,U/UTP (ekransız),1
Uzunluq,1 m,14
Part number,460-11499,1
Seriya,addlink Spider N5 Notebook Memory,2
Tətbiq,Call center / deskphone bağlantısı,1
Ölçülər,35.3 × 205 × 90 mm,2
Sürət,1 GbE,2
Konnektorlar,SFP+ ↔ SFP+,2
Part number,R9D18A,1
Model,Dell Pro E2425HSM,1
Type,Desk lamp,2
Çəki,9.7 q,1
Form faktor,LP (low-profile) riser,1
Çəki,54 q,3
Part number,RZ02-01820500-R3M1,1
PoE,"IEEE 802.3at, port başına max 30 W, ümumi büdcə 130 W",1
Portlar,24 × 10/100/1000BASE-T PoE+,1
Uyğunluq,"PowerEdge R6515, PowerEdge R6525, PowerEdge C6525, PowerEdge R7525, PowerEdge R7515",1
Part number,817718-B21,1
Speed keys,24+6,1
Barmaq izi,Var,11
Rəng,Iron Gray,1
Model,CD224,1
Model,YNDX-00053Z,1
Tip,Cloud idarə olunan outdoor Access Point (EnGenius Cloud),2
AP idarəetmə,50 ədədə qədər Neutron EWS AP (lokal),2
Fan sayı,1 fan(s),1
Portlar,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1); 1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On; 1x USB-C (USB 20Gbps / USB 3.2 Gen 2x2), with USB PD 3.1 and DisplayPort 1.4; 1x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.1 and DisplayPort 2.1; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x Ethernet (RJ-45); Touch style fingerprint reader integrated in power button, match-on-chip; No fingerprint reader; NVMe password",10
Keçid tutumu,32 Gbps,4
Montaj,"Divar/dirək, RW, bracket dəstdə",2
Part number,4X41M69795,1
Əlavə,"Spill-resistant (120 ml), media düymələri, Game Mode",1
Rəng,Ağ (filament görünüşü),1
IoT,IoT Ready (USB expansion),1
EAN,0196548418183,1
Rəng,Qara/boz,4
Qrafika,Intel UHD Graphics 770 (inteqrasiya),3
Uyğunluq,HPE ProLiant DL360 / DL380 Gen10 Plus (High Performance heatsink tələb olunur),1
Çəki,0.02 kq,1
Model,Lenovo 140 W Smart Laptop Power Bank (20000mAh),1
Quraşdırma tipi,Car vent mount,3
Qida,"7–12 V DC, 3.6 W",1
İnterfeys,Fiber,2
Rəng,Turbo Silver,1
Ölçülər,310 × 400 × 130 mm,1
Konfiqurasiya,brauzer / SNMP idarəetmə stansiyası,1
Seriya,Yandex Stansiya 3,3
Sürücü,8 mm dynamic,2
Ölçülər (açıq),533 × 1.652 mm,1
Part number,403-BBLR,1
Tip,Carrier-Grade IP Phone (touch),1
Avtofokus,Bəli,1
RAM (bu konfiq),"8 GB (1 × 8 GB) DDR4-3200 UDIMM; 4 yuva, maks. 128 GB",1
Tətbiq,Kiçik–orta meeting otaqları (BYOD),1
TBW,7008 TB,1
Rəng,Counter-Strike 2 Edition,3
PMIC,Var,4
Part number,345-BDTD,1
Konnektor 1 tipi,Male,32
Media,10GBASE-T (RJ-45),1
Giriş diapazonu,100–280 Vac (derating ilə),1
Çəki,91 q,1
Wi-Fi,"IEEE 802.11 b/g/n (2,4 GHz)",9
LED,İkili rəng: USB 3.x mavi / USB 2.0 qırmızı,10
Seriya,Razer Cobra HyperSpeed,1
Parlaqlıq / kontrast,250 nit / 3000:1,2
Ölçü (E×D×H),75.5 × 132 × 37 mm (2.97 × 5.2 × 1.45 in),1
Tip,"Outdoor Wi-Fi 5 (802.11ac) access point, Instant On AP17",1
Uyğunluq,HPE ProLiant Rack/Tower/BladeSystem Servers/Synergy,1
Çəki,"70,9 kq",1
Part number,FEX-200F,1
Rəng,Sarı,3
Part number,SFYR2S/2T0,1
Rəng,narıncı,2
MTBF,1 156 942 saat,1
Part number,S0G21A,1
Part Number,4P5L2AA,1
Qeyd,Packaging is damaged (skrinşot təsviri),1
Çıxış cərəyanı,5 A,2
Protection,Voltage surges varistor,1
Seriya,Apacer AH750,1
Part number,2Z609A,1
Simsiz şarj,"Maqnit, MagSafe uyğun",1
Skaner,Rəngli flatbed + 40 Vərəq ADF,1
Radio,"4×4:4 MU-MIMO, dual-band",1
Operativ yaddaş,16GB(2x8GB)DDR56000XMPRGBBLKHS,1
Baxış bucaqları,178° üfüqi / 178° şaquli,2
USB,2 × Type-A + 2 × Type-C USB 3.2 Gen 2,2
En,88.9 mm,2
EAN,887111291998,1
Model,Dell Emulex LPe31002-M6-D,1
Ölçülər,310 × 383 × 120 mm,1
Protokollar,SCCP və SIP (Cisco CUCM / CallManager Express),1
Ekran,"27"", QHD 2560x1440, 300 nits, 75 Hz",2
Xətt sayı,"6 proqramlaşdırılan işıqlı xətt/funksiya düyməsi, 4 dinamik soft-key, 4-istiqamətli naviqasiya çarxı",1
Buffer,CUDIMM (clocked unbuffered),8
Part number,SDCG4/512GB,1
Part number,9T5B0UT,1
PoE,"IEEE 802.3at High Power, 24 PoE port, ümumi büdcə 375 W",1
Bağlantı,USB Type-C,1
Çəki,təx. 1.35 kq,2
Part number,AG16GB56C46N5S,1
Dərinlik,25.4 mm,1
Part number,UPA302R2RX0B035,1
Dəstəklənən çözünürlük,1920 x 1080 (HD 1080),1
Uyğunluq,"PC, Xbox Series X|S, Xbox One, PS5, PS4. Software Compatibility: NGENUITY.",4
Tezlik diapazonu,60–20 000 Hz,4
Qida,65 W adapter,2
Çəki,781.5 q,1
Yuvalar,"1 × 3.5""/2.5"" SATA 6Gb/s",1
Brend,Generic / OEM,1
Part number,345-BDSG,1
Ölçü,Ø 63 × 10.5 mm,3
Xətlər / SIP,8 line keys · 12 SIP accounts,1
Qidalanma,"5 V / 1,5 A adapter",1
Standart,IEEE 802.11ax/ac/n/g/b/a,3
CPU,"Intel Celeron J6412 4C/4T 2.0 GHz, burst 2.6 GHz, UHD, AES-NI",1
Ekran ölçüsü,"26.7""",3
Rəng,Ağ-qara,19
Part number,2E-SPEED-XL-D02-PRO,1
- Tilt (meyillənmə,-5° ~ +23°),1
Model,Dell 32GB - 2RX8 DDR4 UDIMM 3200MHz ECC,1
Növ,Yüksək performanslı heatsink dəsti,1
Number of HDMI,2 pcs v1.4,2
Part number,JW118A,1
Kabel,təxminən 15–20 sm USB-C,1
Auth,"RADIUS, TACACS+, LDAP/AD, 802.1X",1
Tip,Indoor Wi-Fi 6 (802.11ax) Access Point,1
Çəki,235 q,2
Video,"4K30, 2.7K30, 1080P120, 1080P60, 1080P30, 720P240, 720P120, 720P60, 720P30 fps (standart: 4K30). Rejimlər: Video, SlowMotion, Loop Record. Format: MOV (H.264/H.265)",1
